filename,winner,description,postal address,city,country,value
b08_njoftim_per_dhenje_te_kontrates_1 (19).pdf,KUVENDI I KOMUNES SE PRISHTINES,Pastrimi dhe rregullimi i shtratit të lumenjëve dhe i kanalizimit atmosferik nga puseta në pusetë.,Adresa Postare: TREPQES NR.2,PRISHTINË,Kosovë,
b08_njoftim_per_dhenje_te_kontrates (199).pdf,KUVENDI I KOMUNES SE PRISHTINES,Furnizim me pije dhe artikuj te tjerë për nevojat e Bufes se Komunës,Adresa Postare: TREPQES NR.2,PRISHTINË,Kosovë,
b08_njoftim_per_dhenje_te_kontrates (463).pdf,KUVENDI I KOMUNES SE PRISHTINES,Ndërtimi i objektit të bashkësis lokale dhe ofiqarisë në Marec,Adresa Postare: TREPQES NR.2,PRISHTINË,Kosovë,"10 396,98"
b08_njoftim_per_dhenje_te_kontrates (176).pdf,KUVENDI I KOMUNES SE PRISHTINES,Shpimi I puseve dhe ndertimi I sistemit te ujitjes per gjelbrim,Adresa Postare: TREPQES NR.2,PRISHTINË,Kosovë,
b08_njoftim_per_dhenje_te_kontrates (526).pdf,KUVENDI I KOMUNES SE PRISHTINES,"Ndërtimi i rrugëve në Prapashticë-lagja Qafa - ( Abazi sipas projektit ) Krahu B, krahu C dhe krahu D",Adresa Postare: TREPQES NR.2,PRISHTINË,Kosovë,"146 152,47"
b08_njoftim_per_dhenje_te_kontrates (875).pdf,KUVENDI I KOMUNES SE PRISHTINES,100 Ndërtim i sheshit Xhorxh Bush,Adresa Postare: TREPQES NR.2,PRISHTINË,Kosovë,"18,162,896.19"
sherbime_transporti_taxi_per_nevojat_e_stafit_te_komunes_se_prishtines_11.03.2025.pdf,KUVENDI I KOMUNES SE PRISHTINES,Shërbime transporti (TAXI) për nevojat e stafit të Komunës së Prishtinës,Adresa Postare: TREPQES NR.2,PRISHTINË,Kosovë,126.14
b08_njoftim_per_dhenje_te_kontrates (731).pdf,KUVENDI I KOMUNES SE PRISHTINES,Ndertimi i Ashensorit ne QKMF ne Veternik,Adresa Postare: TREPQES NR.2,PRISHTINË,Kosovë,"27,727.00"
b08_njoftim_per_dhenje_te_kontrates_2 (84).pdf,KUVENDI I KOMUNES SE PRISHTINES,Furnizimi dhe Mirëmbajtja e Parkut të Lodrave në Lagjen Ulpianë,Adresa Postare: TREPQES NR.2,PRISHTINË,Kosovë,"198,050.00"
b08_njoftim_per_dhenje_te_kontrates (35).pdf,KUVENDI I KOMUNES SE PRISHTINES,Furnizimi me pasije teknologjike për objektet komunale dhe të bashkësisë lokale,Adresa Postare: TREPQES NR.2,PRISHTINË,Kosovë,"20.750,00"
b08_njoftim_per_dhenje_te_kontrates_1 (62).pdf,KUVENDI I KOMUNES SE PRISHTINES,"""Sanimi-ngritja e kapakeve te pusetave ne rruget dhe trotuaret ne Komunën e Prishtinës""",Adresa Postare: TREPQES NR.2,PRISHTINË,Kosovë,"19.650,00"
b08_njoftim_per_dhenje_te_kontrates (361).pdf,KUVENDI I KOMUNES SE PRISHTINES,Sigurimi fizik i objekteve të kujdesit primar shëndëtsor në Prishtinë,Adresa Postare: TREPQES NR.2,PRISHTINË,Kosovë,
b08_njoftim_per_dhenje_te_kontrates (674).pdf,KUVENDI I KOMUNES SE PRISHTINES,Investimi dhe rregullimi i hapsirave publike faza II-te,Adresa Postare: TREPQES NR.2,PRISHTINË,Kosovë,"55,091.10"
b08_njoftim_per_dhenje_te_kontrates (224).pdf,KUVENDI I KOMUNES SE PRISHTINES,Mirmbajtja e sistemit të menagjimit elektronik të automjeteve me paisje GPS,Adresa Postare: TREPQES NR.2,PRISHTINË,Kosovë,
b08_njoftim_per_dhenje_te_kontrates_1 (308).pdf,KUVENDI I KOMUNES SE PRISHTINES,Ndertimi dhe rikonstruimi i fontanave-ritender,Adresa Postare: TREPQES NR.2,PRISHTINË,Kosovë,"43,863.20"
ritender_furnizim_me_kompjuter_per_drejtorine_e_transformimit_dhe_urbanizmit_05.06.2025.pdf,KUVENDI I KOMUNES SE PRISHTINES,Ritender FURNIZIM ME KOMPJUTER PËR DREJTORINË E TRANSFORMIMIT DHE,Adresa Postare: TREPQES NR.2,PRISHTINË,Kosovë,"53,880.00"
b08_njoftim_per_dhenje_te_kontrates_1 (164).pdf,KUVENDI I KOMUNES SE PRISHTINES,Renovimi i objektit të zjarrfikësave të BPZ - Kodra e trimave,Adresa Postare: TREPQES NR.2,PRISHTINË,Kosovë,"35 461,60"
b08_njoftim_per_dhenje_te_kontrates (418).pdf,KUVENDI I KOMUNES SE PRISHTINES,Sigurimi Fizik i objekteve te Komunes - procedur e negocuar pa publikim,Adresa Postare: TREPQES NR.2,PRISHTINË,Kosovë,"116 899,20"
b08_njoftim_per_dhenje_te_kontrates (62).pdf,KUVENDI I KOMUNES SE PRISHTINES,Ndërtimi i rrugëve në brendësi të Fshatit Slivovë,Adresa Postare: TREPQES NR.2,PRISHTINË,Kosovë,"99.385,36"
b08_njoftim_per_dhenje_te_kontrates_1 (35).pdf,KUVENDI I KOMUNES SE PRISHTINES,"Furnizim me llaptop, projektor dhe aparate fotokopjuese për institucionet arsimore",Adresa Postare: TREPQES NR.2,PRISHTINË,Kosovë,"74.665,00"
b08_njoftim_per_dhenje_te_kontrates (336).pdf,KUVENDI I KOMUNES SE PRISHTINES,Furnizim me material didaktik,Adresa Postare: TREPQES NR.2,PRISHTINË,Kosovë,
b08_njoftim_per_dhenje_te_kontrates (766).pdf,KUVENDI I KOMUNES SE PRISHTINES,"73. Renovimi i objektit te vjetër dhe objektit te ri të Komunës, si dhe bashkësive lokale",Adresa Postare: TREPQES NR.2,PRISHTINË,Kosovë,757.92
b08_njoftim_per_dhenje_te_kontrates (789).pdf,KUVENDI I KOMUNES SE PRISHTINES,,Adresa Postare: TREPQES NR.2,PRISHTINË,Kosovë,"70,000.00"
b08_njoftim_per_dhenje_te_kontrates (273).pdf,KUVENDI I KOMUNES SE PRISHTINES,Sinjalizimi horizontal dhe vertikal i rrugëve dhe vendbanimeve,Adresa Postare: TREPQES NR.2,PRISHTINË,Kosovë,
b08_njoftim_per_dhenje_te_kontrates (623).pdf,KUVENDI I KOMUNES SE PRISHTINES,Ndërtimi i tribunës lindore për stadiumin 2 korriku,Adresa Postare: TREPQES NR.2,PRISHTINË,Kosovë,"108,381.06"
b08_njoftim_per_dhenje_te_kontrates (859).pdf,KUVENDI I KOMUNES SE PRISHTINES,Renovimi artistik dhe Infrastrukturor i tunelit te kurrizit “DARDANI” -Punë shtesë,Adresa Postare: TREPQES NR.2,PRISHTINË,Kosovë,"121,003.50"
b08_njoftim_per_dhenje_te_kontrates_1 (133).pdf,KUVENDI I KOMUNES SE PRISHTINES,Rikonstruimi I rrugeve “Karl Gega”Ali Pashe Tepelena” dhe Gazemend Zajmi,Adresa Postare: TREPQES NR.2,PRISHTINË,Kosovë,"66 585,12"
b08_njoftim_per_dhenje_te_kontrates (770).pdf,KUVENDI I KOMUNES SE PRISHTINES,“ Ndërtimi i shkollës në lagjen Kalabria -RITENDER“,Adresa Postare: TREPQES NR.2,PRISHTINË,Kosovë,"2,847,777.73"
b08_njoftim_per_dhenje_te_kontrates (320).pdf,KUVENDI I KOMUNES SE PRISHTINES,Shtrirja e sistemit te ujitjes ne parqet e qytetit,Adresa Postare: TREPQES NR.2,PRISHTINË,Kosovë,
b08_njoftim_per_dhenje_te_kontrates_1 (23).pdf,KUVENDI I KOMUNES SE PRISHTINES,,Adresa Postare: TREPQES NR.2,PRISHTINË,Kosovë,
